Sample,Family,Genus,Species,Count,Length
9AC1-2,Pomacentridae,Chromis,klunzingeri,1,53.7358
9AC1-2,Pomacentridae,Chromis,klunzingeri,2,96.2793
9AC1-2,Labridae,Coris,auricularis,1,282.3775
9AC1-2,Labridae,Coris,auricularis,2,68.3687
9AC1-2,Labridae,Coris,auricularis,3,79.6526
9AC1-2,Labridae,Coris,auricularis,1,103.2995
9AC1-2,Labridae,Coris,auricularis,1,85.6967
9AC1-2,Labridae,Coris,auricularis,2,87.7017
9AC1-2,Labridae,Coris,auricularis,1,95.7486
9AC1-2,Serranidae,Epinephelides,armatus,1,259.2542
9AC1-2,Heterodontidae,Heterodontus,portusjacksoni,1,756.5573
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,1,545.2038
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,1,497.0879
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,1,496.8648
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,1,583.0659
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,1,546.8848
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,1,516.1929
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,2,547.3752
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,1,528.7514
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,2,441.1593
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,1,515.1872
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,1,489.3205
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,1,486.2491
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,1,503.2088
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,1,497.3556
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,1,564.2916
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,2,542.9313
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,1,504.5439
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,2,423.6126
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,1,484.4751
9AC1-2,Kyphosidae,Kyphosus,sydneyanus,1,466.2562
9AC1-2,Monacanthidae,Meuschenia,galii,1,219.3715
9AC1-2,Monacanthidae,Meuschenia,galii,1,224.5942
9AC1-2,Monacanthidae,Meuschenia,galii,1,228.1971
9AC1-2,Labridae,Notolabrus,parilus,1,309.997
9AC1-2,Odacidae,Odax,cyanomelas,1,236.9617
9AC1-2,Labridae,Ophthalmolepis,lineolatus,1,209.9728
9AC1-2,Pomacentridae,Parma,mccullochi,1,155.2264
9AC1-2,Pomacentridae,Parma,mccullochi,2,160.9687
9AC1-2,Pomacentridae,Parma,mccullochi,1,183.4244
9AC1-2,Pomacentridae,Parma,mccullochi,1,156.4844
9AC1-2,Carangidae,Pseudocaranx,spp,1,261.4152
9AC1-2,Carangidae,Pseudocaranx,spp,1,291.712
9AC1-2,Carangidae,Pseudocaranx,spp,2,269.881
9AC1-2,Carangidae,Pseudocaranx,spp,1,271.1124
9AC1-2,Carangidae,Pseudocaranx,spp,1,199.1793
9AC1-2,Carangidae,Pseudocaranx,spp,1,260.5769
9AC1-2,Carangidae,Pseudocaranx,spp,1,278.0237
9AC1-2,Carangidae,Pseudocaranx,spp,1,291.0442
9AC1-2,Carangidae,Pseudocaranx,spp,1,263.7612
9AC1-2,Carangidae,Pseudocaranx,spp,1,273.5622
9AC1-2,Labridae,Pseudolabrus,biserialis,1,140.1506
9AC1-2,Sphyraenidae,Sphyraena,obtusata,1,180.5077
9AC1-2,Sphyraenidae,Sphyraena,obtusata,1,162.2352
9AC1-2,Sphyraenidae,Sphyraena,obtusata,1,190.8594
9AC1-2,Sphyraenidae,Sphyraena,obtusata,2,116.598
9AC1-2,Sphyraenidae,Sphyraena,obtusata,1,169.2517
9AC1-2,Sphyraenidae,Sphyraena,obtusata,1,168.2253
9AC1-2,Sphyraenidae,Sphyraena,obtusata,2,181.1162
9AC1-2,Sphyraenidae,Sphyraena,obtusata,1,180.6319
9AC1-3,Labridae,Coris,auricularis,1,139.8243
9AC1-3,Labridae,Coris,auricularis,1,85.4282
9AC1-3,Labridae,Coris,auricularis,2,79.5925
9AC1-3,Labridae,Coris,auricularis,1,138.4745
9AC1-3,Labridae,Coris,auricularis,2,150.9074
9AC1-3,Labridae,Coris,auricularis,3,113.3221
9AC1-3,Labridae,Coris,auricularis,4,87.3613
9AC1-3,Labridae,Coris,auricularis,5,76.9924
9AC1-3,Labridae,Coris,auricularis,6,91.7641
9AC1-3,Labridae,Coris,auricularis,7,81.5246
9AC1-3,Labridae,Coris,auricularis,8,94.6435
9AC1-3,Labridae,Coris,auricularis,9,90.609
9AC1-3,Labridae,Coris,auricularis,10,89.2467
9AC1-3,Labridae,Coris,auricularis,11,197.6971
9AC1-3,Labridae,Coris,auricularis,12,169.3299
9AC1-3,Labridae,Coris,auricularis,13,173.8246
9AC1-3,Labridae,Coris,auricularis,14,123.9784
9AC1-3,Labridae,Coris,auricularis,15,66.8954
9AC1-3,Labridae,Coris,auricularis,16,62.3988
9AC1-3,Labridae,Coris,auricularis,17,166.0085
9AC1-3,Labridae,Coris,auricularis,18,99.3756
9AC1-3,Labridae,Coris,auricularis,1,95.196
9AC1-3,Serranidae,Epinephelides,armatus,1,265.8037
9AC1-3,Monacanthidae,Meuschenia,galii,1,256.2547
9AC1-3,Labridae,Notolabrus,parilus,1,100.9118
9AC1-3,Labridae,Notolabrus,parilus,1,314.8906
9AC1-3,Labridae,Ophthalmolepis,lineolatus,1,92.6312
9AC1-3,Labridae,Ophthalmolepis,lineolatus,1,249.5649
9AC1-3,Pomacentridae,Parma,mccullochi,1,167.5359
9AC1-3,Labridae,Pictilabrus,viridis,1,173.3055
9AC1-3,Sillaginidae,Sillaginodes,punctata,1,519.9447
9AC1-3,Sillaginidae,Sillaginodes,punctata,2,500.1281
9AC1-4,Labridae,Achoerodus,gouldii,1,576.421
9AC1-4,Labridae,Coris,auricularis,1,129.2911
9AC1-4,Labridae,Coris,auricularis,2,55.7143
9AC1-4,Labridae,Coris,auricularis,1,71.1106
9AC1-4,Labridae,Coris,auricularis,2,75.1791
9AC1-4,Labridae,Coris,auricularis,1,129.5304
9AC1-4,Labridae,Coris,auricularis,2,259.3438
9AC1-4,Labridae,Coris,auricularis,3,89.3038
9AC1-4,Labridae,Coris,auricularis,4,68.0003
9AC1-4,Labridae,Coris,auricularis,5,55.8208
9AC1-4,Labridae,Coris,auricularis,1,151.1421
9AC1-4,Labridae,Coris,auricularis,1,134.5533
9AC1-4,Labridae,Coris,auricularis,2,90.4094
9AC1-4,Labridae,Coris,auricularis,1,93.5057
9AC1-4,Labridae,Coris,auricularis,1,223.3276
9AC1-4,Serranidae,Epinephelides,armatus,1,256.7837
9AC1-4,Kyphosidae,Girella,zebra,1,302.3555
9AC1-4,Kyphosidae,Kyphosus,sydneyanus,1,648.7799
9AC1-4,Kyphosidae,Kyphosus,sydneyanus,2,716.33
9AC1-4,Kyphosidae,Kyphosus,sydneyanus,1,665.4654
9AC1-4,Kyphosidae,Kyphosus,sydneyanus,1,674.4687
9AC1-4,Kyphosidae,Kyphosus,sydneyanus,1,543.8667
9AC1-4,Kyphosidae,Kyphosus,sydneyanus,1,731.2534
9AC1-4,Monacanthidae,Meuschenia,flavolineata,1,250.651
9AC1-4,Monacanthidae,Meuschenia,flavolineata,2,212.1461
9AC1-4,Monacanthidae,Meuschenia,flavolineata,1,213.8775
9AC1-4,Monacanthidae,Meuschenia,galii,1,204.8041
9AC1-4,Monacanthidae,Meuschenia,galii,2,212.048
9AC1-4,Monacanthidae,Meuschenia,hippocrepis,1,294.8616
9AC1-4,Monacanthidae,Meuschenia,hippocrepis,1,248.6639
9AC1-4,Myliobatidae,Myliobatis,australis,1,666.7629
9AC1-4,Labridae,Notolabrus,parilus,1,333.2445
9AC1-4,Labridae,Ophthalmolepis,lineolatus,1,154.2573
9AC1-4,Labridae,Ophthalmolepis,lineolatus,1,228.5727
9AC1-4,Labridae,Ophthalmolepis,lineolatus,1,202.0915
9AC1-4,Pomacentridae,Parma,mccullochi,1,155.9534
9AC1-4,Pomacentridae,Parma,mccullochi,2,134.8143
9AC1-4,Pomacentridae,Parma,mccullochi,3,102.6061
9AC1-4,Pomacentridae,Parma,mccullochi,1,163.7955
9AC1-4,Labridae,Pictilabrus,laticlavius,1,130.1587
9AC1-4,Carangidae,Pseudocaranx,spp,1,249.1909
9AC1-4,Carangidae,Pseudocaranx,spp,1,334.3242
9AC1-4,Scorpididae,Scorpis,georgiana,1,291.5443
9AC1-4,Carangidae,Seriola,hippos,1,1078.5507
9AC1-4,Sphyraenidae,Sphyraena,novaehollandiae,1,756.2412
9AC1-4,Sphyraenidae,Sphyraena,obtusata,1,280.5353
9AC1-4,Sphyraenidae,Sphyraena,obtusata,2,223.7346
9AC1-4,Sphyraenidae,Sphyraena,obtusata,3,255.3183
9AC1-4,Sphyraenidae,Sphyraena,obtusata,4,240.4507
9AC1-4,Sphyraenidae,Sphyraena,obtusata,5,222.6811
9AC1-4,Sphyraenidae,Sphyraena,obtusata,6,230.7486
9AC1-4,Sphyraenidae,Sphyraena,obtusata,7,260.1874
9AC1-4,Sphyraenidae,Sphyraena,obtusata,8,242.3956
9AC1-4,Sphyraenidae,Sphyraena,obtusata,9,283.9622
9AC1-4,Sphyraenidae,Sphyraena,obtusata,10,243.1139
9AC1-4,Sphyraenidae,Sphyraena,obtusata,11,258.0652
9AC1-4,Sphyraenidae,Sphyraena,obtusata,12,262.5344
9AC1-4,Sphyraenidae,Sphyraena,obtusata,13,251.5343
9AC1-4,Sphyraenidae,Sphyraena,obtusata,14,275.9716
9AC1-4,Sphyraenidae,Sphyraena,obtusata,15,205.192
9AC1-4,Sphyraenidae,Sphyraena,obtusata,16,215.5294
9AC1-4,Sphyraenidae,Sphyraena,obtusata,17,243.4586
9AC1-4,Sphyraenidae,Sphyraena,obtusata,18,188.6494
9AC2-1,Labridae,Anampses,geographicus,1,272.149
9AC2-1,Labridae,Anampses,geographicus,1,243.9314
9AC2-1,Labridae,Anampses,geographicus,2,246.6626
9AC2-1,Labridae,Anampses,geographicus,3,248.5113
9AC2-1,Labridae,Anampses,geographicus,4,219.794
9AC2-1,Labridae,Coris,auricularis,1,83.9119
9AC2-1,Labridae,Coris,auricularis,2,74.288
9AC2-1,Labridae,Coris,auricularis,3,91.6869
9AC2-1,Labridae,Coris,auricularis,4,68.7892
9AC2-1,Labridae,Coris,auricularis,1,66.5582
9AC2-1,Labridae,Coris,auricularis,1,103.4405
9AC2-1,Labridae,Coris,auricularis,1,64.5671
9AC2-1,Labridae,Coris,auricularis,1,87.9274
9AC2-1,Labridae,Coris,auricularis,1,89.789
9AC2-1,Labridae,Coris,auricularis,1,70.3565
9AC2-1,Labridae,Coris,auricularis,2,64.207
9AC2-1,Labridae,Coris,auricularis,3,66.6555
9AC2-1,Labridae,Coris,auricularis,1,67.7589
9AC2-1,Labridae,Coris,auricularis,1,149.9424
9AC2-1,Serranidae,Epinephelides,armatus,1,360.9253
9AC2-1,Serranidae,Epinephelides,armatus,1,328.9418
9AC2-1,Kyphosidae,Kyphosus,sydneyanus,1,553.599
9AC2-1,Monacanthidae,Meuschenia,hippocrepis,1,311.313
9AC2-1,Monacanthidae,Meuschenia,hippocrepis,1,356.9551
9AC2-1,Monacanthidae,Meuschenia,hippocrepis,1,266.7455
9AC2-1,Labridae,Ophthalmolepis,lineolatus,1,226.4411
9AC2-1,Labridae,Ophthalmolepis,lineolatus,1,298.6999
9AC2-1,Labridae,Ophthalmolepis,lineolatus,1,239.8991
9AC2-1,Labridae,Ophthalmolepis,lineolatus,1,224.7286
9AC2-1,Serranidae,Othos,dentex,1,325.7067
9AC2-1,Pomacentridae,Parma,mccullochi,1,206.3829
9AC2-1,Labridae,Pictilabrus,laticlavius,1,172.4137
9AC2-1,Labridae,Pseudolabrus,biserialis,1,168.1333
9AC2-2,Labridae,Choerodon,rubescens,1,438.9363
9AC2-2,Pomacentridae,Chromis,klunzingeri,1,74.0443
9AC2-2,Labridae,Coris,auricularis,1,82.5186
9AC2-2,Labridae,Coris,auricularis,2,98.7338
9AC2-2,Labridae,Coris,auricularis,3,79.3538
9AC2-2,Labridae,Coris,auricularis,4,104.2326
9AC2-2,Labridae,Coris,auricularis,5,108.3099
9AC2-2,Labridae,Coris,auricularis,6,74.5364
9AC2-2,Labridae,Coris,auricularis,7,83.6055
9AC2-2,Labridae,Coris,auricularis,8,69.7665
9AC2-2,Labridae,Coris,auricularis,9,50.4338
9AC2-2,Labridae,Coris,auricularis,1,113.2245
9AC2-2,Labridae,Coris,auricularis,2,99.1346
9AC2-2,Labridae,Coris,auricularis,3,96.2715
9AC2-2,Labridae,Coris,auricularis,4,93.3441
9AC2-2,Labridae,Coris,auricularis,5,78.0248
9AC2-2,Serranidae,Epinephelides,armatus,1,259.4898
9AC2-2,Kyphosidae,Kyphosus,sydneyanus,1,460.8539
9AC2-2,Monacanthidae,Meuschenia,hippocrepis,1,308.325
9AC2-2,Labridae,Notolabrus,parilus,1,261.0417
9AC2-2,Labridae,Notolabrus,parilus,1,205.3141
9AC2-2,Labridae,Ophthalmolepis,lineolatus,1,234.4412
9AC2-2,Labridae,Ophthalmolepis,lineolatus,1,219.6263
9AC2-2,Serranidae,Othos,dentex,1,513.3231
9AC2-2,Sparidae,Pagrus,auratus,1,552.0387
9AC2-2,Pomacentridae,Parma,mccullochi,1,229.8273
9AC2-2,Mullidae,Parupeneus,spilurus,1,238.0751
9AC2-2,Carangidae,Pseudocaranx,spp,1,313.0096
9AC2-2,Carangidae,Seriola,lalandi,1,414.86
9AC2-3,Labridae,Coris,auricularis,1,106.2849
9AC2-3,Labridae,Coris,auricularis,1,104.8448
9AC2-3,Labridae,Coris,auricularis,2,82.2376
9AC2-3,Labridae,Coris,auricularis,1,84.0514
9AC2-3,Labridae,Coris,auricularis,2,128.5499
9AC2-3,Labridae,Coris,auricularis,1,96.8404
9AC2-3,Labridae,Coris,auricularis,1,105.7574
9AC2-3,Labridae,Coris,auricularis,1,95.5036
9AC2-3,Carangidae,Pseudocaranx,spp,1,306.305
9AC2-3,Carangidae,Pseudocaranx,spp,1,319.5438
9AC2-3,Carangidae,Seriola,hippos,1,962.7074
9AC2-4,Labridae,Coris,auricularis,1,143.6221
9AC2-4,Labridae,Coris,auricularis,2,140.6243
9AC2-4,Labridae,Coris,auricularis,3,93.6025
9AC2-4,Labridae,Coris,auricularis,4,63.9106
9AC2-4,Labridae,Coris,auricularis,5,95.1344
9AC2-4,Labridae,Coris,auricularis,6,96.3747
9AC2-4,Labridae,Coris,auricularis,7,157.3681
9AC2-4,Labridae,Coris,auricularis,8,100.204
9AC2-4,Labridae,Coris,auricularis,9,94.0044
9AC2-4,Labridae,Coris,auricularis,10,99.6478
9AC2-4,Labridae,Coris,auricularis,11,127.1468
9AC2-4,Labridae,Coris,auricularis,1,76.3477
9AC2-4,Labridae,Coris,auricularis,2,136.4773
9AC2-4,Labridae,Coris,auricularis,1,63.2521
9AC2-4,Labridae,Coris,auricularis,2,38.6249
9AC2-4,Labridae,Notolabrus,parilus,1,292.0455
9AC2-4,Labridae,Ophthalmolepis,lineolatus,1,211.2277
9AC2-4,Carangidae,Pseudocaranx,spp,1,267.6987
9AC2-4,Carangidae,Pseudocaranx,spp,2,194.6841
9AC2-4,Scorpididae,Scorpis,georgiana,1,490.6898
9AC2-4,Scorpididae,Scorpis,georgiana,1,293.5463
9AC2-4,Carangidae,Seriola,hippos,1,1138.8163
9AC2-4,Mullidae,Upeneichthys,vlamingii,1,221.647
9AC3-1,Chaetodontidae,Chelmonops,curiosus,1,143.0295
9AC3-1,Labridae,Coris,auricularis,1,237.1712
9AC3-1,Labridae,Coris,auricularis,1,252.1833
9AC3-1,Labridae,Coris,auricularis,1,150.9451
9AC3-1,Labridae,Coris,auricularis,1,190.0245
9AC3-1,Labridae,Coris,auricularis,1,197.8391
